,open,high,low,close,volume,open_var,high_var,low_var,close_var,volume_var,open_interest
2021-12-09 04:35:00+00:00,49700.0,49713.0,49692.0,49713.0,875624.1256,,,,,,
2021-12-09 04:36:00+00:00,49713.0,49747.0,49712.0,49747.0,160479.6178,,,,,,
2021-12-09 04:37:00+00:00,49747.0,49747.0,49705.0,49705.0,531367.5842,,,,,,
2021-12-09 04:38:00+00:00,49705.0,49746.0,49705.0,49743.0,1163727.6515,,,,,,
2021-12-09 04:39:00+00:00,49743.0,49749.0,49726.0,49737.0,338333.69399999996,0.0,0.0,0.0,6.0,-503356.3020000001,51488.2152
2021-12-09 04:40:00+00:00,49737.0,49742.0,49690.0,49692.0,11.359999999999996,6.0,0.0,-15.0,-50.0,-227018.624,51489.4676
2021-12-09 04:41:00+00:00,49692.0,49733.0,49697.0,49725.0,24.7363,-5.0,0.0,0.0,6.0,-1229686.1511,51487.0275
2021-12-09 04:42:00+00:00,49725.0,49723.0,49681.0,49681.0,14.923400000000006,6.0,0.0,0.0,0.0,-741772.8017000001,51483.3045
2021-12-09 04:43:00+00:00,49681.0,49714.0,49674.0,49687.0,11.155699999999994,0.0,-1.0,0.0,-7.0,-554387.8602,51482.5227
2021-12-09 04:44:00+00:00,49687.0,49717.0,49694.0,49716.0,3.1026999999999987,-7.0,0.0,0.0,0.0,-154196.4958,51481.1712
2021-12-09 04:45:00+00:00,49716.0,49776.0,49713.0,49764.0,22.789200000000005,0.0,59.0,-3.0,47.0,-7887.1855,51481.5965
2021-12-09 04:46:00+00:00,49764.0,49766.0,49720.0,49745.0,17.842200000000005,0.0,0.0,0.0,0.0,-887591.1029,51481.3171
2021-12-09 04:47:00+00:00,49745.0,49758.0,49744.0,49756.0,10.55909999999999,0.0,0.0,0.0,0.0,-526215.3051,51482.7039
2021-12-09 04:48:00+00:00,49756.0,49775.0,49737.0,49762.0,11.6653,-1.0,0.0,0.0,0.0,-580417.1506,51481.3418
2021-12-09 04:49:00+00:00,49762.0,49763.0,49722.0,49741.0,19.257599999999996,0.0,-4.0,0.0,0.0,-957971.9159,51481.5216
2021-12-09 04:50:00+00:00,49741.0,49825.0,49698.0,49805.0,55.15760000000002,0.0,83.0,-43.0,63.0,-6451.096,51485.9956
2021-12-09 04:51:00+00:00,49805.0,49805.0,49750.0,49773.0,14.370399999999993,0.0,0.0,0.0,-9.0,-715227.6975,51478.8111
2021-12-09 04:52:00+00:00,49773.0,49787.0,49769.0,49781.0,5.3943999999999965,-9.0,0.0,0.0,0.0,-268518.8459,51476.7656
2021-12-09 04:53:00+00:00,49781.0,49783.0,49757.0,49783.0,11.951099999999995,0.0,0.0,0.0,0.0,-594862.7056000001,51476.1892
2021-12-09 04:54:00+00:00,49783.0,49795.0,49779.0,49795.0,6.908799999999996,0.0,12.0,-3.0,13.0,-25590.9956,51481.7374
2021-12-09 04:55:00+00:00,49795.0,49812.0,49777.0,49811.0,19.726200000000006,0.0,0.0,0.0,3.0,-982196.7368,51479.1036
2021-12-09 04:56:00+00:00,49811.0,49819.0,49792.0,49804.0,15.609399999999994,3.0,11.0,-10.0,2.0,-2668.7262,51480.0607
2021-12-09 04:57:00+00:00,49804.0,49812.0,49794.0,49812.0,8.427100000000003,0.0,0.0,0.0,0.0,-419676.21650000004,51476.7342
2021-12-09 04:58:00+00:00,49812.0,49853.0,49812.0,49842.0,45.83089999999999,0.0,41.0,0.0,30.0,45.83089999999999,51482.4568
2021-12-09 04:59:00+00:00,49842.0,49855.0,49827.0,49854.0,30.257300000000033,0.0,7.0,-15.0,7.0,-28459.4899,51491.2835
2021-12-09 05:00:00+00:00,49854.0,49919.0,49854.0,49886.0,101.27770000000017,0.0,0.0,0.0,0.0,-5052066.409899999,51494.6072
2021-12-09 05:01:00+00:00,49886.0,49886.0,49875.0,49875.0,5.0706,,,,,,
